自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,タイプ,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,仕様,備考,注意事項,定価,SET価格
スズキ,アルトターボRS,HA36S,15/03～,R06A,ターボ,Release,23929,,260130,70694-qq-e-183k,70694-qq-e-d-183k,4.95909E+12,70694,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,アルトワークス,HA22S,98/10～,K6A,,Release,23929,,260131,70660-qq-e-184k,70660-qq-e-d-184k,4.95909E+12,70660,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,アルトワークス,HA36S,15/12～,R06A,ターボ,Release,23929,,260132,70694-qq-e-185k,70694-qq-e-d-185k,4.95909E+12,70694,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,エブリイワゴン,DA17V/DA17W,15/02～,R06A,ターボ,Release,26256,,260133,70696-qq-e-186k,70696-qq-e-d-186k,4.95909E+12,70696,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スズキ,エブリイワゴン,DA17V/DA17W,15/02～,R06A,ターボ,Return,30727,,260134,70796-qq-e-187k,70796-qq-e-d-187k,4.95909E+12,70796,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,38800,34100
スズキ,カプチーノ,EA11R/EA21R,91/11～,F6A/K6A,,Release,23929,,260135,70661-qq-e-188k,70661-qq-e-d-188k,4.95909E+12,70661,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,スイフトスポーツ,ZC33S,17/09～,K14C,ターボ,Release,26256,,260136,70678-qq-e-189k,70678-qq-e-d-189k,4.95909E+12,70678,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スズキ,スペーシアカスタム,MK53S,17/12～,R06A,ターボ,Release,26256,,260137,70679-qq-e-190k,70679-qq-e-d-190k,4.95909E+12,70679,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スズキ,スペーシアカスタム,MK53S,17/12～,R06A,ターボ,Return,30727,,260138,70779-qq-e-191k,70779-qq-e-d-191k,4.95909E+12,70779,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,38800,34100
スズキ,スペーシアギア,MK53S,18/12～,R06A,ターボ,Release,26256,,260139,70677-qq-e-192k,70677-qq-e-d-192k,4.95909E+12,70677,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スズキ,スペーシアギア,MK53S,18/12～,R06A,ターボ,Return,30727,,260140,70777-qq-e-193k,70777-qq-e-d-193k,4.95909E+12,70777,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,38800,34100
スズキ,ワゴンR,MC21S,98/10～00/12,K6A,ターボ<br>ABS装着車不可,Release,23929,,260141,70660-qq-e-194k,70660-qq-e-d-194k,4.95909E+12,70660,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,ワゴンR,MH21S,03/09～07/05,K6A,ターボ<br>Mターボ装着不可,Release,23929,,260142,70669-qq-e-195k,70669-qq-e-d-195k,4.95909E+12,70669,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,ワゴンR,MH21S,03/09～07/05,K6A,ターボ<br>Mターボ装着不可,Return,27758,,260143,70769-qq-e-196k,70769-qq-e-d-196k,4.95909E+12,70769,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,34800,31100
スズキ,ワゴンRスティングレー,MH22S,07/02～08/09,K6A,ターボ<br>スティングレーDI専用,Release,23929,,260144,70669-qq-e-197k,70669-qq-e-d-197k,4.95909E+12,70669,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,ワゴンRスティングレー,MH22S,07/02～08/09,K6A,ターボ<br>スティングレーDI専用,Return,27758,,260145,70769-qq-e-198k,70769-qq-e-d-198k,4.95909E+12,70769,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,34800,31100
スズキ,ワゴンRスティングレー,MH23S,08/09～12/09,K6A,ターボ,Release,23929,,260146,70669-qq-e-199k,70669-qq-e-d-199k,4.95909E+12,70669,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スズキ,ワゴンRスティングレー,MH23S,08/09～12/09,K6A,ターボ,Return,27758,,260147,70769-qq-e-200k,70769-qq-e-d-200k,4.95909E+12,70769,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,34800,31100
スズキ,ワゴンRスティングレー,MH34S,12/09～14/08,R06A,ターボ,Release,26256,,260148,70670-qq-e-201k,70670-qq-e-d-201k,4.95909E+12,70670,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スズキ,ワゴンRスティングレー,MH44S,15/08～17/02,R06A,ターボ,Release,26256,,260149,70670-qq-e-202k,70670-qq-e-d-202k,4.95909E+12,70670,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スズキ,ワゴンRスティングレー,MH55S,17/02～,R06A,ターボ,Release,23929,,260150,70694-qq-e-203k,70694-qq-e-d-203k,4.95909E+12,70694,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,WRX STI,VAB,14/08～,EJ20,,Release,23929,,260066,70681-qq-e-119k,70681-qq-e-d-119k,4.95909E+12,70681,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,WRX STI,VAB,14/08～,EJ20,,Return,26256,,260067,70781-qq-e-120k,70781-qq-e-d-120k,4.95909E+12,70781,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,32800,29600
スバル,WRX STI,VAF,14～,EJ25,USAモデル,Release,23929,,260068,70681-qq-e-121k,70681-qq-e-d-121k,4.95909E+12,70681,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,WRX STI,VAF,14～,EJ25,USAモデル,Return,26256,,260069,70781-qq-e-122k,70781-qq-e-d-122k,4.95909E+12,70781,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,32800,29600
スバル,インプレッサ,GC8,92/11～96/09,EJ20,Ver.1-2,Release,26256,,260070,70683-qq-e-123k,70683-qq-e-d-123k,4.95909E+12,70683,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スバル,インプレッサ,GC8,96/09～98/09,EJ20,Ver.3-4,Release,23929,,260071,70684-qq-e-124k,70684-qq-e-d-124k,4.95909E+12,70684,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,インプレッサ,GC8,98/09～00/08,EJ20,Ver.5-6,Release,23929,,260072,70682-qq-e-125k,70682-qq-e-d-125k,4.95909E+12,70682,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,インプレッサ,GC8,98/09～00/08,EJ20,Ver.5-6,Return,26256,,260073,70782-qq-e-126k,70782-qq-e-d-126k,4.95909E+12,70782,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,32800,29600
スバル,インプレッサ,GDA/GDB,00/08～07/06,EJ20,,Release,23929,,260074,70681-qq-e-127k,70681-qq-e-d-127k,4.95909E+12,70681,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,インプレッサ,GH8,07/06～,EJ20,,Release,23929,,260075,70687-qq-e-128k,70687-qq-e-d-128k,4.95909E+12,70687,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,インプレッサ,GH8,07/06～,EJ20,,Return,29243,,260076,70787-qq-e-129k,70787-qq-e-d-129k,4.95909E+12,70787,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,36800,32600
スバル,インプレッサ,GRB,07/10～,EJ20,,Release,23929,,260077,70681-qq-e-130k,70681-qq-e-d-130k,4.95909E+12,70681,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,インプレッサ,GRB,07/10～,EJ20,,Return,26256,,260078,70781-qq-e-131k,70781-qq-e-d-131k,4.95909E+12,70781,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,32800,29600
スバル,インプレッサ,GRF,09/02～,EJ25,,Release,23929,,260079,70681-qq-e-132k,70681-qq-e-d-132k,4.95909E+12,70681,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,インプレッサ,GRF,09/02～,EJ25,,Return,26256,,260080,70781-qq-e-133k,70781-qq-e-d-133k,4.95909E+12,70781,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,32800,29600
スバル,インプレッサ,GVB,10/06～,EJ20,,Release,23929,,260081,70681-qq-e-134k,70681-qq-e-d-134k,4.95909E+12,70681,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,インプレッサ,GVB,10/06～,EJ20,,Return,26256,,260082,70781-qq-e-135k,70781-qq-e-d-135k,4.95909E+12,70781,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,32800,29600
スバル,インプレッサ,GVF,10/06～,EJ25,,Release,23929,,260083,70681-qq-e-136k,70681-qq-e-d-136k,4.95909E+12,70681,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,インプレッサ,GVF,10/06～,EJ25,,Return,26256,,260084,70781-qq-e-137k,70781-qq-e-d-137k,4.95909E+12,70781,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,32800,29600
スバル,インプレッサスポーツワゴン,GF8,92/11～96/09,EJ20,Ver.1-2,Release,26256,,260085,70683-qq-e-138k,70683-qq-e-d-138k,4.95909E+12,70683,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スバル,インプレッサスポーツワゴン,GF8,96/09～98/09,EJ20,Ver.3-4,Release,23929,,260086,70684-qq-e-139k,70684-qq-e-d-139k,4.95909E+12,70684,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,インプレッサスポーツワゴン,GF8,98/09～00/08,EJ20,Ver.5-6,Release,23929,,260087,70682-qq-e-140k,70682-qq-e-d-140k,4.95909E+12,70682,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,インプレッサスポーツワゴン,GF8,98/09～00/08,EJ20,Ver.5-6,Return,26256,,260088,70782-qq-e-141k,70782-qq-e-d-141k,4.95909E+12,70782,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,32800,29600
スバル,インプレッサスポーツワゴン,GGA/GGB,00/08～04/06,EJ20,,Release,23929,,260089,70681-qq-e-142k,70681-qq-e-d-142k,4.95909E+12,70681,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,エクシーガ,YA5,08/06～10/04,EJ20,,Release,23929,,260090,70687-qq-e-143k,70687-qq-e-d-143k,4.95909E+12,70687,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,エクシーガ,YA5,08/06～10/04,EJ20,,Return,29243,,260091,70787-qq-e-144k,70787-qq-e-d-144k,4.95909E+12,70787,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,36800,32600
スバル,ジャスティ,M900F,16/11～,1KR-VET,,Release,26256,,260092,70692-qq-e-145k,70692-qq-e-d-145k,4.95909E+12,70692,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スバル,ジャスティ,M900F,16/11～,1KR-VET,,Return,29243,,260093,70792-qq-e-146k,70792-qq-e-d-146k,4.95909E+12,70792,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,36800,32600
スバル,ジャスティカスタム,M900F,16/11～,1KR-VET,,Release,26256,,260094,70692-qq-e-147k,70692-qq-e-d-147k,4.95909E+12,70692,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スバル,ジャスティカスタム,M900F,16/11～,1KR-VET,,Return,29243,,260095,70792-qq-e-148k,70792-qq-e-d-148k,4.95909E+12,70792,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,36800,32600
スバル,フォレスター,SF5,97/02～98/09,EJ20,TRC付不可,Release,23929,,260096,70684-qq-e-149k,70684-qq-e-d-149k,4.95909E+12,70684,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,フォレスター,SF5,98/09～02/02,EJ20,TRC付不可,Release,23929,,260097,70682-qq-e-150k,70682-qq-e-d-150k,4.95909E+12,70682,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,フォレスター,SF5,98/09～02/02,EJ20,TRC付不可,Return,26256,,260098,70782-qq-e-151k,70782-qq-e-d-151k,4.95909E+12,70782,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,32800,29600
スバル,フォレスター,SG9,04/02～07/12,EJ25,全年式共通,Release,23929,,260099,70681-qq-e-152k,70681-qq-e-d-152k,4.95909E+12,70681,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,フォレスター,SH5,07/12～,EJ20,,Release,23929,,260100,70687-qq-e-153k,70687-qq-e-d-153k,4.95909E+12,70687,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,フォレスター,SH5,07/12～,EJ20,,Return,29243,,260101,70787-qq-e-154k,70787-qq-e-d-154k,4.95909E+12,70787,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,36800,32600
スバル,レガシィ,BD5,93/10～98/12,EJ20,,Release,26256,,260102,70680-qq-e-155k,70680-qq-e-d-155k,4.95909E+12,70680,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スバル,レガシィB4,BE5,98/12～03/06,EJ20,VDC付き車両装着不可,Release,23929,,260103,70682-qq-e-156k,70682-qq-e-d-156k,4.95909E+12,70682,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,レガシィB4,BE5,98/12～03/06,EJ20,VDC付き車両装着不可,Return,26256,,260104,70782-qq-e-157k,70782-qq-e-d-157k,4.95909E+12,70782,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,32800,29600
スバル,レガシィB4,BL5,03/06～09/05,EJ20,A型-F型共通,Release,23929,,260105,70687-qq-e-158k,70687-qq-e-d-158k,4.95909E+12,70687,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,エンジンカバー加工有,,29800,27400
スバル,レガシィB4,BL5,03/06～09/05,EJ20,A型-F型共通,Return,29243,,260106,70787-qq-e-159k,70787-qq-e-d-159k,4.95909E+12,70787,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用<br>エンジンカバー加工有,,36800,32600
スバル,レガシィツーリングワゴン,BG5,93/10～98/06,EJ20,,Release,26256,,260107,70680-qq-e-160k,70680-qq-e-d-160k,4.95909E+12,70680,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
スバル,レガシィツーリングワゴン,BH5,98/06～03/05,EJ20,VDC付き車両装着不可,Release,23929,,260108,70682-qq-e-161k,70682-qq-e-d-161k,4.95909E+12,70682,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,27400
スバル,レガシィツーリングワゴン,BH5,98/06～03/05,EJ20,VDC付き車両装着不可,Return,26256,,260109,70782-qq-e-162k,70782-qq-e-d-162k,4.95909E+12,70782,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,32800,29600
スバル,レガシィツーリングワゴン,BP5,03/05～09/05,EJ20,A型-F型共通,Release,23929,,260110,70687-qq-e-163k,70687-qq-e-d-163k,4.95909E+12,70687,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,エンジンカバー加工有,,29800,27400
スバル,レガシィツーリングワゴン,BP5,03/05～09/05,EJ20,A型-F型共通,Return,29243,,260111,70787-qq-e-164k,70787-qq-e-d-164k,4.95909E+12,70787,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用<br>エンジンカバー加工有,,36800,32600
ダイハツ,YRV,M201G/M211G,00/08～,K3-VET,,Release,26256,,260151,70668-qq-e-204k,70668-qq-e-d-204k,4.95909E+12,70668,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
ダイハツ,キャストアクティバ,LA250S/LA260S,15/09～,KF,ターボ,Release,26256,,260152,70693-qq-e-205k,70693-qq-e-d-205k,4.95909E+12,70693,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
ダイハツ,キャストアクティバ,LA250S/LA260S,15/09～,KF,ターボ,Return,29243,,260153,70793-qq-e-206k,70793-qq-e-d-206k,4.95909E+12,70793,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,36800,32600
ダイハツ,キャストスタイル,LA250S/LA260S,15/09～,KF,ターボ,Release,26256,,260154,70693-qq-e-207k,70693-qq-e-d-207k,4.95909E+12,70693,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
ダイハツ,キャストスタイル,LA250S/LA260S,15/09～,KF,ターボ,Return,29243,,260155,70793-qq-e-208k,70793-qq-e-d-208k,4.95909E+12,70793,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,リターンタイプ装着時は一部純正部品を併用,,36800,32600
ダイハツ,キャストスポーツ,LA250S/LA260S,15/10～,KF,ターボ,Release,26256,,260156,70693-qq-e-209k,70693-qq-e-d-209k,4.95909E+12,70693,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,29600
