自動車メーカー,車種,型式,年式,適合詳細,タイプ,販売価格,C_販売価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F/R),減衰力(F/R),スプリング kgf/mm(F/R),仕様,備考,注意事項,定価,送料,SET価格,C_SET価格,,規格1,パターン数,管理用コード,管理用コード
スバル,BRZ,ZC6,,4WD取付不可,,80025,75594,243219,FK-LIMITED-qq-e-h-74,FK-LIMITED-qq-e-d-h-74,FINAL KONNEXION,LIMITED II,ピロ調整/リジット固定,倒立式/正立式,8/8,フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,84800,2000,93400,88900,,,,,
スバル,レヴォーグ,VM4/VMG,,4WD取付不可,,80025,75594,243289,FK-LIMITED-qq-e-h-13k,FK-LIMITED-qq-e-d-h-13k,FINAL KONNEXION,LIMITED II,リジット固定/リジット固定,正立式/正立式,8/5,フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,84800,2000,96400,91900,,,,,
スバル,レガシィ,BH5/BE5,,4WD,,80025,75594,242682,FK-LIMITED-qq-e-h-76,FK-LIMITED-qq-e-d-h-76,FINAL KONNEXION,LIMITED II,ピロ調整/リジット固定,倒立式/正立式,7/6,フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,84800,2000,96400,91900,,,,,
スバル,レガシィB4,BP5/BL5,,4WD,,80025,75594,243220,FK-LIMITED-qq-e-h-75,FK-LIMITED-qq-e-d-h-75,FINAL KONNEXION,LIMITED II,ピロ調整/リジット固定,倒立式/正立式,7/7,フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,84800,2000,96400,91900,,,,,
トヨタ,86,ZN6,,4WD取付不可,,80025,75594,243287,FK-LIMITED-qq-e-h-1,FK-LIMITED-qq-e-d-h-1,FINAL KONNEXION,LIMITED II,ピロ調整/リジット固定,倒立式/正立式,8/8,フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,84800,2000,93400,88900,,,,,
トヨタ,C-HR,ZYX10/NGX50,,ZYX10:2WD<br>NGX50:4WD,,78253,73821,243291,FK-LIMITED-qq-e-h-1k,FK-LIMITED-qq-e-d-h-1k,FINAL KONNEXION,LIMITED II,リジット固定/別体式,倒立式/正立式,7/5(特別形状),フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,82800,2000,91600,87100,,,,,
トヨタ,アクア,NHP10,,4WD取付不可,,75594,71162,243025,FK-LIMITED-qq-e-h-2k,FK-LIMITED-qq-e-d-h-2k,FINAL KONNEXION,LIMITED II,マウントレス/別体式,正立式/正立式,6/3(特別形状),フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,2000,88900,84400,,,,,
トヨタ,アリスト,JZS14,,4WD取付不可,,75594,71162,243209,FK-LIMITED-qq-e-h-3,FK-LIMITED-qq-e-d-h-3,FINAL KONNEXION,LIMITED II,リジット固定/リジット固定,正立式/正立式,16/10,フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,2000,88900,84400,,,,,
トヨタ,アリスト,JZS160,,4WD取付不可,,75594,71162,242837,FK-LIMITED-qq-e-h-4,FK-LIMITED-qq-e-d-h-4,FINAL KONNEXION,LIMITED II,リジット固定/リジット固定,正立式/正立式,14/8,フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,2000,88900,84400,,,,,
トヨタ,アルテッツァ,SXE10/GXE10,,4WD取付不可,,75594,71162,242672,FK-LIMITED-qq-e-h-2,FK-LIMITED-qq-e-d-h-2,FINAL KONNEXION,LIMITED II,リジット固定/リジット固定,正立式/正立式,14/10,フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,2000,88900,84400,,,,,
トヨタ,アルファード,ANH10W/ANH15W/MNH10W/MNH15W,,4WD取付不可,,80025,75594,243210,FK-LIMITED-qq-e-h-37,FK-LIMITED-qq-e-d-h-37,FINAL KONNEXION,LIMITED II,ピロ固定/別体式,倒立式/正立式,7/6.5(特別形状),フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,リアショック純正ゴム使用<br>純正ダストブーツをカットして使用<br>M/ANH10Wはリアの車高が上がりにくくなります(調整幅:約-5～-11cm),ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,84800,2000,93400,88900,,,,,
トヨタ,アルファード/ヴェルファイア,AGH30W/GGH30W/AYH30W,,4WD取付不可,,78253,73821,242676,FK-LIMITED-qq-e-h-43,FK-LIMITED-qq-e-d-h-43,FINAL KONNEXION,LIMITED II,リジット固定/別体式,正立式/正立式,10/10.5(特別形状),フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,82800,2000,91600,87100,,,,,
トヨタ,アルファード/ヴェルファイア,ANH20W/GGH20W,,4WD取付不可,,80025,75594,243212,FK-LIMITED-qq-e-h-41,FK-LIMITED-qq-e-d-h-41,FINAL KONNEXION,LIMITED II,ピロ調整/別体式,倒立式/正立式,8/10(特別形状),フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,84800,2000,93400,88900,,,,,
トヨタ,アルファード/ヴェルファイア,ANH20W/GGH20W,,4WD取付不可,,78253,73821,243213,FK-LIMITED-qq-e-h-42,FK-LIMITED-qq-e-d-h-42,FINAL KONNEXION,LIMITED II,リジット固定/別体式,正立式/正立式,8/10(特別形状),フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,82800,2000,91600,87100,,,,,
トヨタ,ヴェロッサ,JZX110,,4WD取付不可,,75594,71162,243294,FK-LIMITED-qq-e-h-29,FK-LIMITED-qq-e-d-h-29,FINAL KONNEXION,LIMITED II,リジット固定/リジット固定,正立式/正立式,14/10,フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,2000,88900,84400,,,,,
トヨタ,エスティマ,ACR30W,,4WD取付不可,,80025,75594,243029,FK-LIMITED-qq-e-h-34,FK-LIMITED-qq-e-d-h-34,FINAL KONNEXION,LIMITED II,ピロ固定/別体式,倒立式/正立式,7/6.5(特別形状),フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,リアショック純正ゴム使用<br>純正ダストブーツをカットして使用<br>リアの車高が上がりにくくなります(調整幅:約-5～-11cm),ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,84800,2000,93400,88900
トヨタ,エスティマ,ACR50W/GSR50W,,4WD取付不可,,80025,75594,242674,FK-LIMITED-qq-e-h-35,FK-LIMITED-qq-e-d-h-35,FINAL KONNEXION,LIMITED II,ピロ調整/別体式,倒立式/正立式,8/10(特別形状),フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,リアショック純正ゴム使用<br>純正ダストブーツをカットして使用,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,84800,2000,93400,88900
トヨタ,エスティマ,ACR50W/GSR50W,,4WD取付不可,,78253,73821,242675,FK-LIMITED-qq-e-h-36,FK-LIMITED-qq-e-d-h-36,FINAL KONNEXION,LIMITED II,リジット固定/別体式,正立式/正立式,8/10(特別形状),フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,リアショック純正ゴム使用<br>純正ダストブーツをカットして使用,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,82800,2000,91600,87100
トヨタ,クラウン,GRS180/GRS182,,4WD取付不可,,75594,71162,243019,FK-LIMITED-qq-e-h-11,FK-LIMITED-qq-e-d-h-11,FINAL KONNEXION,LIMITED II,リジット固定/リジット固定,正立式/正立式,12/10,フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,79800,2000,88900,84400
トヨタ,クラウン,GRS181/GRS183,,4WD,,78253,73821,242670,FK-LIMITED-qq-e-h-12,FK-LIMITED-qq-e-d-h-12,FINAL KONNEXION,LIMITED II,リジット固定/リジット固定,正立式/正立式,12/10,フルタップ全長調整式<br>単筒正立、単筒倒立式(車種により)<br>減衰力20段調整機能付<br>ピロアッパーマウント調整式(車種により)<br>リジットアッパーマウント(車種により)<br>スラストベアリングアッパーシート採用(車種により)<br>オーバーホール可能<br>車高調レンチ、製品証明書、オリジナルステッカー付属,,ポップアップフード付き車のローダウンやインチアップなどによるフードの不具合につきましては一切の責任を負いかねます(社外の「ポップアップフードキャンセラー」などのご使用をお勧めします)<br>リジットマウントタイプはゴム製品の為、摩擦により消耗致します<br>消耗を防ぐ為に必ず最低地上高を保ち、定期的にアッパー各部のボルト・ナット(センタートップナット)を増し締めして下さい<br>尚、リジットブッシュは定期的に確認し交換を行って下さい<br>プリロードのかけ過ぎにより異音がでますので取扱に十分に注意してご使用ください<br>強度計算書は付属しておりません<br>その他注意事項については、必ずメーカーHPにてご確認の上ご注文ください,82800,2000,91600,87100
