自動車メーカー,車種,型式,年式,適合詳細,スプリング,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,備考,注意事項,定価,SET価格,,取付特記事項
ダイハツ,コペン,L880K,02/06～03/08,エンジン形式:JBDET<br>外観形式:アクティブトップ(電動)<br>駆動:FF<br>その他:ディタッチャブルトップ(手動)は適合未確認,,68458,,74590,KYB-qq-e-i-2977,KYB-qq-e-d-i-2977,フロント:SST5278R/SST5278L 各1本<br>リア:SSB1058 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,MR2,AW10,86/08～87/08,グレード:S<br>エンジン種別:CBR<br>エンジン形式:3ALU<br>外観形式:クーペ,,60613,,71045,KYB-qq-e-i-4738,KYB-qq-e-d-i-4738,フロント:SSP2060 2本<br>リア:SSP4074 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,87200,71700,,
トヨタ,MR2,AW11,86/08～89/12,"グレード:G<br>エンジン種別:スーパーチャージャー,ツインカム<br>エンジン形式:4AGZE,4AGELU<br>外観形式:クーペ,Tバールーフ",,60613,,72595,KYB-qq-e-i-4739,KYB-qq-e-d-i-4739,フロント:SSP2060 2本<br>リア:SSP4074 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,87200,71700,,
トヨタ,MR2,SW20,91/12～93/11,"グレード:GT<br>エンジン形式:3SGTE<br>外観形式:クーペ,ティバールーフ<br>その他:ビルシュタイン",,89332,,73202,KYB-qq-e-i-2657,KYB-qq-e-d-i-2657,フロント:SST5101R/SST5101L 各1本<br>リア:SST5102R/SST5102L 各1本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,130400,99800,,
トヨタ,アルファード,ANH10W,02/05～,グレード:AX<br>エンジン形式:2AZFE(2.4リットル)<br>駆動:FF,,68458,,74742,KYB-qq-e-i-2660,KYB-qq-e-d-i-2660,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,アルファード,ANH15W,02/05～,グレード:AX<br>エンジン形式:2AZFE(2.4リットル)<br>駆動:4WD,,68458,,71426,KYB-qq-e-i-2663,KYB-qq-e-d-i-2663,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,アルファード,MNH10W,02/05～,グレード:MX<br>エンジン形式:1MZFE(3.0リットル)<br>駆動:FF,,68458,,74223,KYB-qq-e-i-2662,KYB-qq-e-d-i-2662,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,アルファード,MNH10W,02/05～,グレード:MZ<br>エンジン形式:1MZFE<br>駆動:FF<br>その他:除くTEMS装着車,,68458,,70924,KYB-qq-e-i-2661,KYB-qq-e-d-i-2661,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,アルファード,MNH15W,02/05～,グレード:MX<br>エンジン形式:1MZFE(3.0リットル)<br>駆動:4WD,,68458,,71427,KYB-qq-e-i-2664,KYB-qq-e-d-i-2664,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,アルファード,MNH15W,02/05～,グレード:MZ<br>エンジン形式:1MZFE(3.0リットル)<br>駆動:4WD<br>その他:除くTEMS装着車,,68458,,72717,KYB-qq-e-i-2665,KYB-qq-e-d-i-2665,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,アルファードハイブリッド,ATH10W,03/07～,エンジン形式:2AZFXE<br>駆動:4WD,,68458,,70925,KYB-qq-e-i-2666,KYB-qq-e-d-i-2666,フロント:SST5214R/SST5214L 各1本<br>リア:SSB2059Z 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,99000,79400,,
トヨタ,カリーナ,AA63,83/05～85/07,グレード:GT<br>エンジン形式:4AGEU<br>外観形式:クーペ<br>乗員数:5,,54099,,72718,KYB-qq-e-i-2670,KYB-qq-e-d-i-2670,フロント:SSC4040 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,65400,,
トヨタ,カリーナ,RA63,81/09～83/05,グレード:GT<br>エンジン形式:18RGEU<br>外観形式:クーペ<br>乗員数:5,,54099,,70926,KYB-qq-e-i-2671,KYB-qq-e-d-i-2671,フロント:SSC4040 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,65400,,
トヨタ,カリーナ,TA61,81/09～83/05,グレード:GT<br>エンジン形式:2TGEU<br>外観形式:クーペ<br>乗員数:5,,54099,,73706,KYB-qq-e-i-2669,KYB-qq-e-d-i-2669,フロント:SSC4040 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,65400,,
トヨタ,カリーナ,TA63,82/10～85/07,グレード:GTターボ<br>エンジン形式:3TGTEU<br>外観形式:クーペ<br>乗員数:5,,54099,,70927,KYB-qq-e-i-2672,KYB-qq-e-d-i-2672,フロント:SSC4040 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,65400,,
トヨタ,カリーナ,TA63,83/05～83/08,"グレード:SE,ST<br>エンジン形式:3TEU<br>外観形式:クーペ<br>乗員数:5",,54099,,74743,KYB-qq-e-i-2673,KYB-qq-e-d-i-2673,フロント:SSC4040 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,65400,,
トヨタ,グランドハイエース,KCH10W,99/07～,グレード:リミテッドタイプ<br>ドア数:5ドア<br>駆動:FR,,47584,,74224,KYB-qq-e-i-2693,KYB-qq-e-d-i-2693,フロント:SSB2027 2本<br>リア:SSB2033 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランドハイエース,KCH16W,99/07～,グレード:リミテッドタイプ<br>ドア数:5ドア<br>駆動:4WD,,47584,,70930,KYB-qq-e-i-2700,KYB-qq-e-d-i-2700,フロント:SSB2029 2本<br>リア:SSB2035 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランドハイエース,VCH10W,99/07～,グレード:リミテッドタイプ<br>ドア数:5ドア<br>駆動:FR,,47584,,72720,KYB-qq-e-i-2698,KYB-qq-e-d-i-2698,フロント:SSB2027 2本<br>リア:SSB2033 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランドハイエース,VCH16W,99/07～,グレード:リミテッドタイプ<br>ドア数:5ドア<br>駆動:4WD,,47584,,72723,KYB-qq-e-i-2704,KYB-qq-e-d-i-2704,フロント:SSB2029 2本<br>リア:SSB2035 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランビア,KCH10W,95/08～97/08,グレード:Q<br>ドア数:4ドア<br>駆動:FR,,47584,,74225,KYB-qq-e-i-2694,KYB-qq-e-d-i-2694,フロント:SSB2027 2本<br>リア:SSB2033 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランビア,KCH16W,95/10～99/07,グレード:Q<br>ドア数:4ドア<br>駆動:4WD,,47584,,73204,KYB-qq-e-i-2701,KYB-qq-e-d-i-2701,フロント:SSB2029 2本<br>リア:SSB2035 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランビア,RCH11W,95/08～99/07,"グレード:G,Q<br>ドア数:4ドア<br>駆動:FR",,47584,,72236,KYB-qq-e-i-2699,KYB-qq-e-d-i-2699,フロント:SSB2027 2本<br>リア:SSB2033 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランビア,VCH10W,97/08～99/07,"グレード:Q<br>ドア数:4ドア,5ドア<br>駆動:FR",,47584,,74744,KYB-qq-e-i-2697,KYB-qq-e-d-i-2697,フロント:SSB2027 2本<br>リア:SSB2033 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランビア,VCH16W,97/08～99/07,"グレード:Q<br>ドア数:4ドア,5ドア<br>駆動:4WD",,47584,,72722,KYB-qq-e-i-2703,KYB-qq-e-d-i-2703,フロント:SSB2029 2本<br>リア:SSB2035 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランビア/グランドハイエース,KCH10W,95/08～,グレード:G<br>ドア数:4ドア<br>駆動:FR,,47584,,71428,KYB-qq-e-i-2695,KYB-qq-e-d-i-2695,フロント:SSB2027 2本<br>リア:SSB2033 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランビア/グランドハイエース,KCH16W,95/10～,"グレード:G<br>ドア数:4ドア,5ドア<br>駆動:4WD",,47584,,72721,KYB-qq-e-i-2702,KYB-qq-e-d-i-2702,フロント:SSB2029 2本<br>リア:SSB2035 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランビア/グランドハイエース,RCH41W,97/04～,"グレード:G<br>ドア数:4ドア,5ドア<br>駆動:FR",,47584,,73707,KYB-qq-e-i-2710,KYB-qq-e-d-i-2710,フロント:SSB2027 2本<br>リア:SSB2033 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランビア/グランドハイエース,VCH10W,97/08～,"グレード:G<br>ドア数:4ドア,5ドア<br>駆動:FR",,47584,,72719,KYB-qq-e-i-2696,KYB-qq-e-d-i-2696,フロント:SSB2027 2本<br>リア:SSB2033 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,グランビア/グランドハイエース,VCH16W,97/08～,"グレード:G<br>ドア数:4ドア,5ドア<br>駆動:4WD",,47584,,71429,KYB-qq-e-i-2705,KYB-qq-e-d-i-2705,フロント:SSB2029 2本<br>リア:SSB2035 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,67600,59000,,
トヨタ,クレスタ,GX61,82/08～84/07,"グレード:SDX,SLU<br>外観形式:4ドアハードトップ",,54099,,72725,KYB-qq-e-i-2719,出さない,フロント:SSC4046 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,出さない,,
トヨタ,クレスタ,GX71,84/08～88/08,"グレード:SDX,SLU<br>外観形式:セダン",,54099,,72726,KYB-qq-e-i-2722,出さない,フロント:SSC4046 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,出さない,,
トヨタ,クレスタ,GX71,84/08～88/08,グレード:SLU<br>外観形式:セダン<br>その他:TEMS,,87737,,72239,KYB-qq-e-i-2723,出さない,フロント:SEP0010 2本<br>リア:SEF0010 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,128000,出さない,,
トヨタ,クレスタ,GX71,85/10～88/08,グレード:GT<br>外観形式:セダン,,54099,,70932,KYB-qq-e-i-2721,出さない,フロント:SSC4046 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,出さない,,
トヨタ,クレスタ,GX81,88/08～90/08,グレード:SLTG<br>外観形式:セダン<br>その他:TEMS,,89067,,70933,KYB-qq-e-i-2728,KYB-qq-e-d-i-2728,フロント:SEP0040 2本<br>リア:SEA0050 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,130000,109500,,
トヨタ,クレスタ,GX81,90/08～92/10,グレード:SLT<br>外観形式:セダン<br>その他:TEMS,,89067,,71432,KYB-qq-e-i-2727,KYB-qq-e-d-i-2727,フロント:SEP0040 2本<br>リア:SEA0050 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,130000,109500,,
トヨタ,クレスタ,JZX81,90/08～92/10,"グレード:SLT,SLTG<br>外観形式:セダン<br>その他:TEMS",,89067,,71433,KYB-qq-e-i-2730,KYB-qq-e-d-i-2730,フロント:SEP0040 2本<br>リア:SEA0050 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,130000,109500,,
トヨタ,クレスタ,MX61,82/08～84/07,"グレード:SLU,STR<br>外観形式:4ドアハードトップ",,54099,,74228,KYB-qq-e-i-2720,出さない,フロント:SSC4046 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,出さない,,
トヨタ,クレスタ,MX71,84/08～88/02,グレード:SLU<br>外観形式:セダン,,54099,,74748,KYB-qq-e-i-2724,出さない,フロント:SSC4046 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,出さない,,
トヨタ,クレスタ,MX83,89/08～92/10,グレード:SLTG<br>外観形式:セダン<br>その他:TEMS,,89067,,74229,KYB-qq-e-i-2731,KYB-qq-e-d-i-2731,フロント:SEP0040 2本<br>リア:SEA0050 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,130000,109500,,
トヨタ,コロナ,RT141,82/01～82/10,グレード:GT<br>外観形式:ハードトップ<br>乗員数:5,,54099,,71435,KYB-qq-e-i-2738,KYB-qq-e-d-i-2738,フロント:SSC4040 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,65400,,
トヨタ,コロナ,TT142,82/01～83/10,グレード:SX<br>外観形式:ハードトップ<br>乗員数:5,,54099,,72727,KYB-qq-e-i-2740,KYB-qq-e-d-i-2740,フロント:SSC4040 2本<br>リア:SSB1788 2本,KYB,SS For Street,1台分,,特殊品(例:TEMS・Adjustable・アクティブダンパー・セルフレベライザー・車高降下など)は、注釈がない場合は非装着品となります。<br>カートリッジは、非分解式ストラットには装着不可となります。年式内でもストラットの形状をご確認下さい。<br>自動ブレーキおよび車線逸脱警報等の衝突安全装置の作動について一切の保障は致しかねます。,77400,65400,,
