自動車メーカー,車種,型式/通称型式,年式,駆動方式,適合詳細,車高設定範囲<br>(参考値),販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,アッパーマウント(F|R),バネレート(F|R),車高設定範囲(参考値)F|R,ダウン量(参考値)F|R,減衰力調整,備考,注意事項,定価,SET価格,,取付特記事項,データ追加日
スバル,BRZ,ZC6,,2WD,,,148000,,248813,01010209032-qq-g-915,01010209032-qq-g-d-112,Largus,Spec RS,調整式ピロ|固定式ピロ,10k|8k,,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
スバル,インプレッサ,GRB,,4WD,,Fr：630mm～689mm<br>Rr：638mm～681mm,148000,,248824,01010202012-qq-g-919,01010202012-qq-g-d-116,Largus,Spec RS,調整式ピロ|固定式ピロ,10k|10k,630mm～689mm|638mm～681mm,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
トヨタ,86,ZN6,,2WD,GR/GRスポーツ適合可,Fr：619mm～670mm<br>Rr：607mm～655mm,148000,,248821,01010209032-qq-g-914,01010209032-qq-g-d-111,Largus,Spec RS,調整式ピロ|固定式ピロ,10k|8k,619mm～670mm|607mm～655mm,-49mm～+2mm|-71mm～-23mm,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
トヨタ,アルテッツァ,GXE10/SXE10,,2WD,,,148000,,248812,01010209022-qq-g-8,01010209022-qq-g-d-10,Largus,Spec RS,固定式ピロ|固定式ピロ,14k|10k,,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
トヨタ,マークII/ヴェロッサ,JZX110,,2WD,,,148000,,248820,01010209022-qq-g-930,01010209022-qq-g-d-127,Largus,Spec RS,固定式ピロ|固定式ピロ,14k|10k,,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
トヨタ,マークII/チェイサー/クレスタ,GX90/JZX90/GX100/JZX100/JZX101/LX100/SX100,,2WD,,,148000,,248811,01010209012-qq-g-929,01010209012-qq-g-d-126,Largus,Spec RS,固定式ピロ|固定式ピロ,14k|10k,,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
日産,シルビア,S14,,2WD,,,148000,,248827,01010207022-qq-g-921,01010207022-qq-g-d-118,Largus,Spec RS,調整式ピロ|固定式ピロ,8k|6k,,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
日産,シルビア,S15,,2WD,,Fr：607mm～682mm<br>Rr：590mm～662mm,148000,,248816,01010207023-qq-g-922,01010207023-qq-g-d-119,Largus,Spec RS,調整式ピロ|固定式ピロ,8k|6k,607mm～682mm|590mm～662mm,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
日産,シルビア/180SX,RPS13/RS13/PS13/S13,,2WD,,Fr：600mm～672mm<br>Rr：587mm～639mm,148000,,248815,01010207012-qq-g-920,01010207012-qq-g-d-117,Largus,Spec RS,調整式ピロ|固定式ピロ,8k|6k,600mm～672mm|587mm～639mm,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
日産,スカイライン,ECR33,,2WD,リアブラケット形状要確認:丸目型のみ装着可,Fr：616mm～699mm<br>Rr：618mm～684mm,148000,,248819,01010207062-qq-g-923,01010207062-qq-g-d-120,Largus,Spec RS,固定式ピロ|固定式ピロ,9k|7k,616mm～699mm|618mm～684mm,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
日産,スカイライン,ER34,,2WD,リアブラケット形状要確認:コの字型のみ装着可,,148000,,248828,01010207072-qq-g-924,01010207072-qq-g-d-121,Largus,Spec RS,固定式ピロ|固定式ピロ,9k|6k,,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
日産,スカイラインGT-R,BCNR33/BNR34,,4WD,,,148000,,248826,01010207042-qq-g-925,01010207042-qq-g-d-122,Largus,Spec RS,固定式ピロ|固定式ピロ,9k|7k,,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
日産,スカイラインGT-R,BNR32,,4WD,,Fr：616mm～670mm<br>Rr：628mm～667mm,148000,,248817,01010207032-qq-g-926,01010207032-qq-g-d-123,Largus,Spec RS,固定式ピロ|固定式ピロ,10k|8k,616mm～670mm|628mm～667mm,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
日産,スカイラインクーペ,CPV35,,2WD,,,148000,,248810,01010207052-qq-g-927,01010207052-qq-g-d-124,Largus,Spec RS,固定式ピロ|固定式ピロ,12k|8k,,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
日産,フェアレディZ,Z33,,2WD,,,148000,,248818,01010207052-qq-g-8,01010207052-qq-g-d-8,Largus,Spec RS,固定式ピロ|固定式ピロ,12k|8k,,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
ホンダ,S2000,AP1/AP2,,2WD,,Fr：625mm～650mm<br>Rr：593mm～657mm,148000,,248825,01010203012-qq-g-918,01010203012-qq-g-d-115,Largus,Spec RS,固定式ピロ|固定式ピロ,12k|10k,625mm～650mm|593mm～657mm,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
マツダ,RX-7,FD3S,,2WD,,Fr：595mm～668mm<br>Rr：615mm～693mm,148000,,248829,01010210012-qq-g-916,01010210012-qq-g-d-113,Largus,Spec RS,固定式ピロ|固定式ピロ,10k|9k,595mm～668mm|615mm～693mm,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
マツダ,RX-8,SE3P,,2WD,,Fr：635mm～685mm<br>Rr：640mm～660mm,148000,,248822,01010210022-qq-g-917,01010210022-qq-g-d-114,Largus,Spec RS,固定式ピロ|固定式ピロ,10k|8k,635mm～685mm|640mm～660mm,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
マツダ,ロードスター,NA6CE/NA8C,,2WD,,Fr：563mm～628mm<br>Rr：580mm～610mm,148000,,248814,01010210032-qq-g-932,01010210032-qq-g-d-129,Largus,Spec RS,固定式ピロ|固定式ピロ,8k|6k,563mm～628mm|580mm～610mm,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
マツダ,ロードスター,NB6C/NB8C,,2WD,,Fr：574mm～609mm<br>Rr：559mm～598mm,148000,,248823,01010210032-qq-g-934,01010210032-qq-g-d-131,Largus,Spec RS,固定式ピロ|固定式ピロ,8k|6k,574mm～609mm|559mm～598mm,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
三菱,ランサーエボリューションX,CZ4A,,4WD,,,148000,,248809,01010206012-qq-g-931,01010206012-qq-g-d-128,Largus,Spec RS,調整式ピロ|固定式ピロ,10k|8k,,,32段階調整,受注生産のため納期3～4週間,,148000,163000,,,20191023初期
