自動車メーカー,適合車種,販売価格,Camp価格,商品ID,商品コード,メーカー品番,メーカー名,商品名,適合詳細,備考,注意事項,定価,掛け
AUDI,A3/S3 8V,76440,,258225,35020-23-qq-e-20k,35020-23,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
AUDI,A3/TT/TTS/TTRS 8P/8J,76440,,258224,35020-22-qq-e-19k,35020-22,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
AUDI,A4/S4/A5/S5 B8,76440,,258221,35020-19-qq-e-16k,35020-19,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
AUDI,R8 4S,76440,,258228,35020-28-qq-e-23k,35020-28,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
AUDI,R8 GEN1,76440,,258219,35020-17-qq-e-14k,35020-17,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
AUDI,RS3/TT/TTS/TTRS 8V/8S,76440,,258226,35020-24-qq-e-21k,35020-24,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
AUDI,RS4/RS5 B8,96040,,258223,35020-21-qq-e-18k,35020-21,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,98000,80
BMW,3シリーズ F30,76440,,258207,35020-03-qq-e-2k,35020-03,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
BMW,M3 E90/E92,76440,,258208,35020-04-qq-e-3k,35020-04,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
BMW,M3/M4 F80/F82,76440,,258206,35020-02-qq-e-1k,35020-02,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
BMW,Z4 E89,76440,,258209,35020-05-qq-e-4k,35020-05,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
CHEVROLET,カマロ 5th Gen,76440,,258218,35020-16-qq-e-13k,35020-16,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
FORD,フォーカスRS MK3,76440,,258220,35020-18-qq-e-15k,35020-18,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
PORSCHE,911GT3/RS 991<br>ケイマンGT4 981,96040,,258215,35020-13-qq-e-10k,35020-13,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,98000,80
PORSCHE,911カブリオレ 997,76440,,258213,35020-09-qq-e-8k,35020-09,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
PORSCHE,911カレラ 991<br>911カレラ4/ターボ 991<br>ケイマン/ボクスター 981/718,76440,,258211,35020-07-qq-e-6k,35020-07,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
PORSCHE,911カレラ 997<br>911カレラ4/ターボ 997<br>911GT3 997,76440,,258214,35020-10-qq-e-9k,35020-10,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
PORSCHE,ケイマン/ボクスター 986/987,76440,,258212,35020-08-qq-e-7k,35020-08,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
VOLKSWAGEN,ゴルフVI 5K,76440,,258216,35020-14-qq-e-11k,35020-14,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
VOLKSWAGEN,ゴルフVII 5G,76440,,258217,35020-15-qq-e-12k,35020-15,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
日産,GT-R R35,76440,,258210,35020-06-qq-e-5k,35020-06,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
ホンダ,シビックタイプR FK2,76440,,258222,35020-20-qq-e-17k,35020-20,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
ホンダ,シビックタイプR FK8,76440,,258227,35020-25-qq-e-22k,35020-25,OHLINS,キャンセレーションキット,,電子制御サスペンション装着車両の純正ショックアブソーバーを取り外した際に起きるエラー表示消去用のキャンセラーキット<br>車両側の純正コネクターにカプラオン接続<br>正確な作動と高い耐久性,,78000,80
