自動車メーカー,車種,型式,グレード,年式,ダウン量 mm(F/R),販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,エンジン,駆動方式,適合詳細,スプリングレート Kgf/mm(F/R),自由長 mm(F/R),備考,注意事項,定価,SET価格
スズキ,スイフト,ZC72S,XG/XL/XS,2010/09～2016/11,-30/-30,17547,,263023,SKU82-S1B00-qq-e-124,SKU82-S1B00-qq-e-d-124,4571104666752,SKU82-S1B00,TEIN,S.TECH,1200,FF,,2.6/3.2,287/272,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,31000,35200
スズキ,スイフトスポーツ,ZC31S,スポーツ,2005/09～2010/08,-35/-30,18871,,263010,SKU32-S1B00-qq-e-127,SKU32-S1B00-qq-e-d-127,4571104664888,SKU32-S1B00,TEIN,S.TECH,1600,FF,,3.3/3.4,312/267,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,33500,36800
スバル,インプレッサ,GDB,WRX STI(P.C.D.=100),2002/11～2004/06,-35/-25,20616,,262942,SKS58-S1B00-qq-e-96,SKS58-S1B00-qq-e-d-96,4571104664048,SKS58-S1B00,TEIN,S.TECH,2000,4WD,C/D,4.3/3.7,226/293,C/D型(H14/11～H16/06)車両のデータです。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,37000,42100
スバル,インプレッサ,GDB,WRX STI(P.C.D.=114.3),2004/06～2007/06,-30/-15,20616,,263060,SKS58-S1B00-qq-e-97,SKS58-S1B00-qq-e-d-97,4571104664048,SKS58-S1B00,TEIN,S.TECH,2000,4WD,E～,4.3/3.7,226/293,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,37000,42100
スバル,インプレッサ,GH7,20S,2007/06～2011/12,-40/-35,17015,,262946,SKS76-S1B00-qq-e-98,SKS76-S1B00-qq-e-d-98,4571104665571,SKS76-S1B00,TEIN,S.TECH,2000,4WD,,3.1/2.9,248/288,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,30000,37500
スバル,インプレッサ,GH8,S-GT,2007/06～2011/12,-40/-35,17015,,262947,SKS76-S1B00-qq-e-99,SKS76-S1B00-qq-e-d-99,4571104665571,SKS76-S1B00,TEIN,S.TECH,2000,4WD,,3.1/2.9,248/288,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,30000,37500
スバル,デックス,M401F,1.3I/1.3I-L/1.3I-S,2008/11～2011/10,-40/-40,17813,,262892,SKL96-S1B00-qq-e-108,SKL96-S1B00-qq-e-d-108,4571104664628,SKL96-S1B00,TEIN,S.TECH,1300,FF,,4.1/2.8,300/293,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,メーカー保証対象外：灯火類高さが保安基準に抵触するため。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,31500,35500
スバル,フォレスター,SG5,XT/X20/X,2002/02～2007/12,-55/-55,18079,,262938,SKS50-S1B00-qq-e-100,SKS50-S1B00-qq-e-d-100,4571104663867,SKS50-S1B00,TEIN,S.TECH,2000,4WD,セルフレベライザー車は取付け不可,3/3.6,274/325,ターボ車にて実車確認。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,32000,38800
スバル,フォレスター,SG9,STIバージョン,2004/04～2007/12,-25/-30,18079,,262939,SKS50-S1B00-qq-e-101,SKS50-S1B00-qq-e-d-101,4571104663867,SKS50-S1B00,TEIN,S.TECH,2500,4WD,,3/3.6,274/325,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,メーカー保証対象外：車高の前後バランスが悪いため。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,32000,38800
スバル,レガシィB4,BE5,RSK/RS タイプB,1998/12～2003/05,-39/-24,20616,,262931,SKS02-S1B00-qq-e-103,SKS02-S1B00-qq-e-d-103,4571104660699,SKS02-S1B00,TEIN,S.TECH,2000,4WD,,3.9/6.2,263/290,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,37000,42100
スバル,レガシィB4,BEE,RS30,2002/02～2003/05,-40/-20,20616,,262930,SKS02-S1B00-qq-e-102,SKS02-S1B00-qq-e-d-102,4571104660699,SKS02-S1B00,TEIN,S.TECH,3000,4WD,,3.9/6.2,263/290,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,メーカー保証対象外：車高の前後バランスが悪いため。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,37000,42100
スバル,レガシィB4,BL5,2.0GT/2.0GT スペックB,2003/05～2009/04,-25/-25,18345,,262940,SKS52-S1B00-qq-e-104,SKS52-S1B00-qq-e-d-104,4571104663829,SKS52-S1B00,TEIN,S.TECH,2000,4WD,ビルシュタイン装着車専用,5.3/7.2,228/282,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,32500,39200
スバル,レガシィツーリングワゴン,BH5,GT-B/E-TUNE,1998/06～2003/05,-39/-41,20616,,262933,SKS02-S1B00-qq-e-106,SKS02-S1B00-qq-e-d-106,4571104660699,SKS02-S1B00,TEIN,S.TECH,2000,4WD,ビルシュタイン装着車専用,3.9/6.2,263/290,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,37000,42100
スバル,レガシィツーリングワゴン,BHE,GT30,2002/02～2003/05,-45/-40,20616,,262932,SKS02-S1B00-qq-e-105,SKS02-S1B00-qq-e-d-105,4571104660699,SKS02-S1B00,TEIN,S.TECH,3000,4WD,,3.9/6.2,263/290,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,37000,42100
スバル,レガシィツーリングワゴン,BP5,2.0GT/2.0GT スペックB,2003/05～2009/04,-25/-30,18345,,262941,SKS52-S1B00-qq-e-107,SKS52-S1B00-qq-e-d-107,4571104663829,SKS52-S1B00,TEIN,S.TECH,2000,4WD,ビルシュタイン装着車専用,5.3/7.2,228/282,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,32500,39200
トヨタ,bB,QNC20,S Qバージョン,2005/12～2016/07,-45/-35,17813,,262893,SKL96-S1B00-qq-e-4,SKL96-S1B00-qq-e-d-4,4571104664628,SKL96-S1B00,TEIN,S.TECH,1300,FF,,4.1/2.8,300/293,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,31500,35500
トヨタ,bB,QNC21,Z/Z Xバージョン/Z Qバージョン,2005/12～2016/07,-45/-35,17813,,262894,SKL96-S1B00-qq-e-5,SKL96-S1B00-qq-e-d-5,4571104664628,SKL96-S1B00,TEIN,S.TECH,1500,FF,,4.1/2.8,300/293,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,31500,35500
トヨタ,アルファード,ANH10W,AS/AX,2002/05～2008/05,-45/-55,22860,,262880,SKL12-S1B00-qq-e-6,SKL12-S1B00-qq-e-d-6,4571104663645,SKL12-S1B00,TEIN,S.TECH,2400,FF,,3.8/6.7,298/324,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,41500,42000
トヨタ,アルファード,ANH15W,AS/AX,2002/05～2008/05,-40/-65,22860,,262881,SKL12-S1B00-qq-e-7,SKL12-S1B00-qq-e-d-7,4571104663645,SKL12-S1B00,TEIN,S.TECH,2400,4WD,,3.8/6.7,298/324,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,41500,42000
トヨタ,アルファード,ANH20W,240S/240X/240G,2008/05～2014/12,-40/-40,23359,,262757,SKC84-S1B00-qq-e-8,SKC84-S1B00-qq-e-d-8,4571104665977,SKC84-S1B00,TEIN,S.TECH,2400,FF,,3.4/8.5,301/300,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,42500,42700
トヨタ,アルファード,ANH25W,240S/240X/240G,2008/05～2014/12,-40/-65,23359,,262765,SKC88-S1B00-qq-e-9,SKC88-S1B00-qq-e-d-9,4571104666073,SKC88-S1B00,TEIN,S.TECH,2400,4WD,,3.6/8.5,302/327,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,42500,42700
トヨタ,アルファード,MNH10W,MZ/MS/MX,2002/05～2008/05,-60/-50,22860,,262878,SKL12-S1B00-qq-e-12,SKL12-S1B00-qq-e-d-12,4571104663645,SKL12-S1B00,TEIN,S.TECH,3000,FF,,3.8/6.7,298/324,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,41500,42000
トヨタ,アルファード,MNH15W,MZ/MS/MX,2002/05～2008/05,-40/-60,22860,,262879,SKL12-S1B00-qq-e-13,SKL12-S1B00-qq-e-d-13,4571104663645,SKL12-S1B00,TEIN,S.TECH,3000,4WD,,3.8/6.7,298/324,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,41500,42000
トヨタ,ヴェルファイア,ANH20W,2.4V/2.4Z/2.4X,2008/05～2014/12,-40/-40,23359,,262756,SKC84-S1B00-qq-e-31,SKC84-S1B00-qq-e-d-31,4571104665977,SKC84-S1B00,TEIN,S.TECH,2400,FF,,3.4/8.5,301/300,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,42500,42700
トヨタ,ヴェルファイア,ANH25W,2.4V/2.4Z/2.4X,2008/05～2014/12,-40/-65,23359,,262764,SKC88-S1B00-qq-e-32,SKC88-S1B00-qq-e-d-32,4571104666073,SKC88-S1B00,TEIN,S.TECH,2400,4WD,,3.6/8.5,302/327,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,42500,42700
トヨタ,ヴォクシー,AZR60G,V/Z/X/トランスX,2001/11～2004/07,-45/-45,22860,,262885,SKL24-S1B00-qq-e-35,SKL24-S1B00-qq-e-d-35,4571104664918,SKL24-S1B00,TEIN,S.TECH,2000,FF,,3/6.2,329/282,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,41500,42000
トヨタ,ヴォクシー,AZR60G,V/Z/X/トランスX,2004/08～2007/05,-45/-45,22860,,263056,SKL24-S1B00-qq-e-36,SKL24-S1B00-qq-e-d-36,4571104664918,SKL24-S1B00,TEIN,S.TECH,2000,FF,,3/6.2,329/282,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,メーカー保証対象外：最低地上高90mm確保できない為。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,41500,42000
