メーカー,車種,年式,排ガス記号,車輌型式,エンジン型式,備考,SET価格,Camp価格,メーカー品番
スズキ,アルトワークス,98/10-00/12,GF-,HA22S,K6A,Turbo専用<br>2WD/4WD共通<br>ビーム下,30200,29700,69004
スズキ,エブリィワゴン,01/09-02/11,GH-,DA62W,K6A,Turbo専用<br>2WD/4WD共通<br>ビーム上<br>スポーツ未確認,33800,33300,69040
スズキ,エブリィワゴン,05/08-10/03,ABA-,DA64W,K6A,Turbo専用<br>2WD専用<br>ビーム下純正リアアンダー装着車専用<br>2010年4月1日以降に製造された車両に適応される新制度には適合しません<br>2009年1月1日以降に製造された車両に適応される外装の技術基準には適合しません,31640,31140,69034
スズキ,ラパン,02/01-07/05,LA-,HE21S,K6A,NA専用<br>2WD専用<br>ビーム下<br>07/05-装着不可,30200,29700,69030
スズキ,ラパン,02/01-07/05,UA-,HE21S,K6A,NA専用<br>2WD専用<br>ビーム下<br>07/05-装着不可,30200,29700,69030
スズキ,ラパン,02/01-07/05,TA-,HE21S,K6A,Turbo専用<br><br>2WD専用<br>SS共通<br>ビーム下<br>07/05-装着不可,30200,29700,69006
スズキ,ワゴンR,98/10-00/12,GF-,MC21S,K6A,1・2型専用<br>Turbo専用<br>2WD/4WD専用<br>ビーム下<br>Low Down車装着不可,30200,29700,69005
スズキ,ワゴンR,00/12-02/09,TA-,MC22S,K6A,3・4型専用<br>Turbo専用<br>2WD/4WD専用<br>ビーム下<br>Low Down車装着不可,30200,29700,69004
スズキ,ワゴンR,02/09-03/09,UA-,MC22S,K6A,5・6型専用<br>NA専用<br>2WD専用<br>ビーム下<br>Low Down車装着不可,30200,29700,69032
スズキ,ワゴンR,03/09-04/12,UA-,MH21S,K6A,1・2型専用<br><br>直噴Turbo専用<br>2WD専用<br>ビーム下<br>04/12-装着不可,30200,29700,69020
スズキ,ワゴンR,04/12-05/09,CBA-,MH21S,K6A,3型専用<br>NA専用<br>2WD専用<br>ビーム下,30200,29700,69033
スズキ,ワゴンR,04/12-05/09,DBA-,MH21S,K6A,3型専用<br>NA専用<br>2WD専用<br>ビーム下,30200,29700,69033
スズキ,ワゴンR,05/09-07/05,CBA-,MH21S,K6A,4型専用<br>2WD専用<br>FT-S Limited(M Turbo)専用<br>Low Down車装着不可,33800,33300,69042
スズキ,ワゴンRスティングレー,07/02-08/09,CBA-,MH22S,K6A,グレードT(M Turbo)専用<br>2WD専用<br>ビーム下<br>Low Down車装着不可,33800,33300,69042
スズキ,ワゴンRスティングレー,08/09-10/03,CBA-,MH23S,K6A,グレードT・TS共通<br>ビーム下<br>2WD専用<br>Low Down車装着不可<br>2010年4月1日以降に製造された車両に適応される新制度には適合しません<br>2009年1月1日以降に製造された車両に適応される外装の技術基準には適合しません,33800,33300,69048
スバル,R1,05/01-10/03,CBA-,RJ1,EN07,SC/NA共通<br>リヤバンパースカート装着車共通,31640,31140,69021
スバル,R1,05/01-10/03,CBA-,RJ2,EN07,SC/NA共通<br>リヤバンパースカート装着車共通,31640,31140,69021
スバル,R2,03/12-10/03,UA-,RC1,EN07,NA専用<br>純正バンパー装着車専用,31640,31140,69021
スバル,R2,03/12-10/03,UA-,RC1,EN07,SC/NA共通<br>2WD・4WD共通<br>リヤバンパースカート装着車共通,31640,31140,69044
スバル,R2,03/12-10/03,CBA-,RC1,EN07,NA専用<br>純正バンパー装着車専用,31640,31140,69021
スバル,R2,03/12-10/03,CBA-,RC1,EN07,SC/NA共通<br>2WD・4WD共通<br>リヤバンパースカート装着車共通,31640,31140,69044
スバル,R2,03/12-10/03,UA-,RC2,EN07,NA専用<br>純正バンパー装着車専用,31640,31140,69021
スバル,R2,03/12-10/03,UA-,RC2,EN07,SC/NA共通<br>2WD/4WD共通<br>リヤバンパースカート装着車共通,31640,31140,69044
スバル,R2,03/12-10/03,CBA-,RC2,EN07,NA専用<br>純正バンパー装着車専用,31640,31140,69021
スバル,R2,03/12-10/03,CBA-,RC2,EN07,SC/NA共通<br>2WD/4WD共通<br>リヤバンパースカート装着車共通,31640,31140,69044
スバル,ステラ,06/06-07/11,DBA-,RN1,EN07,カスタムR(NA)専用,31640,31140,69044
スバル,ステラ,06/06-07/11,ABA-,RN1,EN07,カスタムRS(SuperCharger)専用,31640,31140,69044
スバル,プレオ,00/10-07/06,TA-,RA1,EN07,2WD専用<br>MildCharge(00/10-)・SuperCharger(01/10-)専用,31640,31140,69016
ダイハツ,タント,03/11-05/06,UA-,L350S,EF-VE,NA専用<br>純正リアアンダー装着車専用,30200,29700,69028
ダイハツ,ムーヴ,98/10-02/10,GF-,L902S,JB-DET,フレームNo.#00?・#1000000?共通,28040,27540,69009
ダイハツ,ムーヴ,06/10-10/03,DBA-,L175S,KF-VE,NA専用<br>2WD専用<br>純正バンパー装着車専用<br>カスタム不可<br>オプションバンパー/マッドガード装着車未確認<br>2010年4月1日以降に製造された車両に適応される新制度には適合しません<br>2009年1月1日以降に製造された車両に適応される外装の技術基準には適合しません,31640,31140,69047
ダイハツ,ムーヴカスタム,02/10-06/10,LA-,L152S,JB-DET,純正エアロ装着車共通,28040,27540,69010
ダイハツ,ムーヴカスタム,02/10-04/04,UA-,L150S,EF-VE,NA専用<br>カスタムX・カスタムL専用<br>他グレード不可,28040,27540,69029
ダイハツ,ムーヴカスタム,06/10-10/03,CBA-,L175S,KF-DET,カスタム専用<br>2WD専用<br>オプションバンパー/マッドガード装着車未確認<br>2010年4月1日以降に製造された車両に適応される新制度には適合しません<br>2009年1月1日以降に製造された車両に適応される外装の技術基準には適合しません,31640,31140,69046
ダイハツ,ムーヴカスタム,06/10-10/03,DBA-,L175S,KF-VE,カスタム専用<br>2WD専用<br>オプションバンパー/マッドガード装着車未確認<br>2010年4月1日以降に製造された車両に適応される新制度には適合しません<br>2009年1月1日以降に製造された車両に適応される外装の技術基準には適合しません,31640,31140,69046
日産,オッティ,06/12-08/09,CBA-,H92W,3G83,Turbo専用<br>2WD/4WD共通<br>Low Down車装着不可<br>ライダー共通,33800,33300,69045
ホンダ,バモス,01/09-05/12,LA-,HM1,E07Z,MC後専用<br>Turbo専用<br>モデューロエアロ装着車専用,33800,33300,69035
ホンダ,バモス,01/09-05/12,ABA-,HM1,E07Z,MC後専用<br>Turbo専用<br>モデューロエアロ装着車専用,33800,33300,69035
ホンダ,バモス,01/09-05/12,LA-,HM2,E07Z,MC後専用<br>Turbo専用<br>モデューロエアロ装着車専用,33800,33300,69035
ホンダ,バモス,01/09-05/12,ABA-,HM2,E07Z,MC後専用<br>Turbo専用<br>モデューロエアロ装着車専用,33800,33300,69035
ホンダ,ライフ,97/04-98/10,E-,JA4,E07Z,,33800,33300,69000
ホンダ,ライフ,98/10-03/09,LA-,JB1,E07Z,2WD専用,33800,33300,69001
ホンダ,ライフ,98/10-03/09,LA-,JB2,E07Z,4WD専用,33800,33300,69002
ホンダ,ライフダンク,00/12-03/09,LA-,JB3,E07Z,Turbo専用<br>2WD専用<br>純正エアロ未確認,33800,33300,69013
ホンダ,ライフダンク,00/12-03/09,LA-,JB4,E07Z,Turbo専用<br>4WD専用,33800,33300,69014
三菱,eKスポーツ,02/09-06/09,LA-,H81W,3G83,Turbo専用<br>2WD/4WD共通<br>Low Down車装着不可,31640,31140,69015
三菱,eKスポーツ,06/09-08/08,CBA-,H82W,3G83,Turbo専用<br>2WD/4WD共通<br>Low Down車装着不可<br>純正バンパー装着車専用,33800,33300,69045
三菱,eKワゴン,01/10-06/09,LA-,H81W,3G83,NA専用<br>2WD専用,31640,31140,69011
